writing	reading	meaning	level
つまり	つまり	in short,in brief,in other words	N3
罪	つみ	guilt; sin; offence; sinful	N3
詰める	つめる	to stuff; to fill; to cram; to draw together or nearer; to shorten or narrow; to finish; to complete; to stand by; to wait and be ready; to checkmate; to make unable to escape; to corner; to do something to the greatest extent	N3
積もる	つもる	to pile up, to accumulate	N3
梅雨	つゆ	the East Asian rainy season (from early June to early/mid-July)	N3
辛い	つらい	painful	N3
釣	つり	fishing, angling, catching; change, small cash	N3
連れ	つれ	companion; company	N3
出	で	the process of something coming out; something that comes out; imperfective and stem (or continuative) forms of 出る (deru)	N3
出会い	であい	encounter; meeting by chance; confluence (of rivers, streams, etc.)	N3
出会う	であう	to meet by chance, run into	N3
提案	ていあん	proposal; suggestion; to propose; to suggest	N3
定期	ていき	fixed period; short for 定期乗車券	N3
抵抗	ていこう	resistance; resistor; to resist	N3
提出	ていしゅつ	submission; submit, present, produce, tender	N3
程度	ていど	degree, extent; level, standard; about, approximately	N3
停留所	ていりゅうじょ	bus stop; tram stop	N3
デート	でーと	date (pre-arranged social meeting, meeting with a lover or a potential lover); to date (someone)	N3
敵	てき	an enemy; an opponent, a competitor; the other party in a lawsuit; 的: (historical) in the red-light district, a term of reference used between prostitutes and customers	N3
出来事	できごと	incident, event	N3
適する	てきする	suit, befit	N3
適切	てきせつ	appropriate, adequate, proper; appropriacy, adequacy, propriety	N3
適度	てきど	moderate; modest ; appropriate; temperate; suitable; moderation; appropriate measure; moderate degree	N3
適用	てきよう	application of something; to apply	N3
出来るだけ	できるだけ	as much as one can; as much as possible; if at all possible	N3
できれば	できれば		N3
手品	てじな	sleight of hand; prestidigitation; a magic trick	N3
ですから	ですから	alternative form of だから (da kara)	N3
鉄	てつ	iron, the metal and the metallic chemical element; steel; a blade, a knife, a sword, a weapon; something extremely strong; short for 鉄色 (tetsu iro, “steely black”); short for 鉄砲 (teppō, literally “cannon”, but in this case, refers to the poisonous fugu blowfish or dishes made from it); short for 鉄道 (tetsudō, “railway”)	N3
哲学	てつがく	philosophy	N3
手伝い	てつだい	help; helper	N3
徹底	てってい	being thorough; thoroughness; to be thorough	N3
鉄道	てつどう	railway	N3
徹夜	てつや	being awake all night; vigil, wake; to stay up all night, to burn the midnight oil	N3
手間	てま	the time to do something, trouble of doing it	N3
デモ	でも	demonstration (public display of protest); demo (a short demonstration of something)	N3
典型	てんけい	model, exemplar, epitome	N3
天候	てんこう	weather	N3
電子	でんし	electron; the quality of being electronic	N3
テント	てんと	tent	N3
伝統	でんとう	tradition, custom	N3
天然	てんねん	being natural; short for 天然惚け: airheaded	N3
度	ど	-itude; degree of an angle; degree in temperature, scale, etc.; number of times; percentage of alcohol concentration; degree, extent; diopter	N3
問い	とい	question, inquiry	N3
党	とう	political party	N3
塔	とう	tower (structure); pagoda, stupa; steeple, spire; turret (of a castle or fortification); tower	N3
ド	ど	alternative spelling of ど	N3
答案	とうあん	answer; answer sheet, exam paper	N3
同一	どういつ	identity, sameness	N3
どうか	どうか	please, anyhow; 銅貨: copper coin; 同化: assimilation, absorption, adaptation, blending in; 銅戈: bronze dagger-ax; 道家: Taoist; 同価: equivalent; 道歌: moral poem	N3
当時	とうじ	then, at that time	N3
動詞	どうし	verb	N3
同時	どうじ	simultaneity, concurrency, happening at the same time, synchronicity; the same age; the same period	N3
どうしても	どうしても	no matter what	N3
到着	とうちゃく	arrival; arrive	N3
道徳	どうとく	morality; ethics	N3
投票	とうひょう	voting; to cast a vote, to cast a ballot	N3
同様	どうよう	equal, same; equality	N3
同僚	どうりょう	colleague, coworker who works at the same working place, especially same rank of title	N3
道路	どうろ	road, street, a way for local traffic	N3
通す	とおす	to let through, to let pass; to pass through, to cause to move through; to persist in until the end; to make something happen by force	N3
通り	とおり	street; traffic; quality of flowing; reputation, name; understanding; in accordance with; combination; permutation; variation	N3
通り過ぎる	とおりすぎる	to go past	N3
都会	とかい	a city, urban area, town, etc.; clipping of 東京都議会 (Tōkyōto Gikai, “Tokyo Metropolitan Assembly”)	N3
時	とき	time; an event, case, occasion, moment; a specific period in time; a time of something; the time during which a narrative takes place; a season; a tense; a female given name	N3
解く	とく	to solve (a problem); to answer (a question); to unravel (a riddle); to comb; to untangle (hair); to untie	N3
毒	どく	poison; poison, toxin	N3
得意	とくい	triumphant, proud; skilled; strong point; triumph; regular customer	N3
読書	どくしょ	the act of reading; to read	N3
独身	どくしん	unmarried; an unmarried person	N3
特徴	とくちょう	characteristic	N3
独特	どくとく	unique, peculiar (to someone); inimitable; uniqueness; inimitability	N3
独立	どくりつ	independence; separation; status that one stands; independent authority that is free from interference; be independent; be separate, be detached; be independent; have the authority to act without interference	N3
解ける	とける	be solved; be solvable; be soluble; be untied, be undone; melt, thaw (ice, snow, etc.); to melt away, to be dispelled (anger, misunderstanding, etc.)	N3
どこか	どこか	anywhere, somewhere; short for どころか (dokoro ka): anything but, far from, not at all	N3
ところが	ところが	but, and surprisingly, ...	N3
ところで	ところで	by the way,even if,no matter what	N3
登山	とざん	mountain climbing, mountaineering; to go mountain climbing, to climb a mountain	N3
都市	とし	city; town	N3
年月	としつき	years, passing of time, time	N3
図書	としょ	books	N3
年寄	としより	old people,the aged	N3
閉じる	とじる	to shut, to close; to write a Japanese word using kanji	N3
途端	とたん	the moment ..., as soon as …	N3
土地	とち	ground; land; area; region	N3
突然	とつぜん	sudden; suddenly	N3
トップ	とっぷ	top (highest point or position); opening page; index page; ellipsis of トップバスト	N3
届く	とどく	to reach	N3
とにかく	とにかく	anyhow,at any rate,anyway,somehow or other,generally speaking,in any case	N3
飛ばす	とばす	to let fly; to send flying; to throw; to skip (to omit from a continuation); to speed up (of car); to send a user to a webpage	N3
飛び出す	とびだす	to spring out, jump out; to rush out; to protrude; to come unexpectedly	N3
留める	とめる	hold, keep (to a limit), suffice; retain, keep, remain; detain, keep, retain	N3
友	とも	friend; a male given name	N3
共に	ともに	together, with	N3
土曜	どよう	planet Saturn; Saturday	N3
虎	とら	tiger, Panthera tigris; clipping of 突撃雷撃 (totsugeki raigeki, “lightning attack”), used by Japanese soldiers to warn about an imminent attack	N3
ドライブ	どらいぶ	driving (a car etc.), (especially) for personal entertainment; going out for a drive; a drive: a hit causing the ball to move in a flat trajectory, as in tennis or baseball; a drive (storage medium)	N3
トラック	とらっく	lorry (UK), truck (US) (vehicle); track	N3
ドラマ	どらま	drama; TV drama, series	N3
トランプ	とらんぷ	(a pack or deck of) playing cards; a transliteration of the English surname Trump	N3
取り上げる	とりあげる	pick up; take up a topic, feature (in the media); confiscate; deliver a child	N3
努力	どりょく	an effort, an endeavor; to endeavor, to make an effort	N3
ドレス	どれす	dress	N3
取れる	とれる	come off, become detached; subside (especially of a fever, pain, etc.); to come off; be taken as (be interpreted in a certain way); to keep, to maintain; the potential form of 取る, to be obtainable	N3
泥	どろ	mud; abbreviation of 泥棒 (dorobō, “thief”); a surname	N3
屯	とん	tonne, metric ton; ton, Imperial ton	N3
とんでもない	とんでもない	unbelievable, unreasonable, extraordinary, completely unexpected, outrageous, preposterous; not at all	N3
どんな	どんな	how?; like what?; what kind of...?; which one?	N3
どんなに	どんなに	how,how much	N3
トンネル	とんねる	tunnel; through the legs	N3
名	な	name; reputation	N3
内容	ないよう	contents (something inside a container); content (the information conveyed in document, conversation, lecture, etc.), details, substance	N3
